Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGK.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGK.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGK.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGK.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGK.clonotype.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGL.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGL.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGL.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGL.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGL.clonotype.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,Day,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,DayFactor,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab.top10,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRA.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRA.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRA.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRA.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRA.clonotype.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRB.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRB.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRB.D.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRB.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRB.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRab_TRB.clonotype.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRD.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRD.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRD.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRD.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRG.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRG.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRG.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,TCRgd_TRG.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,age_group,Other,Normal,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,cv19_vax_boost_or_HC_status,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,library_prep_batch,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"M cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771.cxg/,https://datasets.cellxgene.cziscience.com/e969ceb9-197c-42d5-bf81-e19e5a6e32ac.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,sampleName_with_day,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,celltype.broad_clustering_annot,Cell types ,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,celltype.final,Cell types ,"Normal, abbreviations",,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR.top10,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGH.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGH.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGH.D.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGH.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGH.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"innate T cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/693ae928-96ba-47de-b9d9-1321c675bfcd.cxg/,https://datasets.cellxgene.cziscience.com/deaa7dd9-bee9-4007-86fa-de384c539ea7.h5ad,doi:10.1016/j.isci.2023.108573,,T,T,BCR_IGH.clonotype.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
